mu,sigma,time,study,estimate,std.error
0,0.05,Prior,Prior,NA,NA
0.01483679525222552,0.013481496275998544,Update 1,Broockman and Green (2014),0.016,0.014
0.013717020779827225,0.011344889339504944,Update 2,Turitto et al. (2014),0.011,0.021
0.010031002015768927,0.005303909761042809,Update 3,Hager (2019),0.009,0.006
0.007083640865164086,0.004496173084658731,Update 4,The present study,-4.4332328582928296e-4,0.00847596925939286
