model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),1348.3341232227483,69.35703033405497,19.440482337962838,1.1945229747247325e-24,1208.947975394945,1487.7202710505517,48.88938392029654,vote_total_2018
Model 1,Z,-23.591594487116556,103.35115006129978,-0.22826639542108507,0.8199099700244967,-228.6627119693789,181.47952299514577,98.99947065155438,vote_total_2018
Model 2,(Intercept),42.550778798918856,48.37354327770107,0.8796291508902894,0.3831881911799888,-54.56425008069593,139.66580767853364,50.976468167289376,vote_total_2018
Model 2,Z,10.186389960237147,23.67650930379425,0.43023191592709736,0.6680431350952443,-36.8434662716689,57.2162461921432,91.08927061335689,vote_total_2018
Model 2,vote_total_2016_nona,0.8711731484738563,0.02096986573047609,41.544049908138234,2.8617948166346635e-46,0.8292365830532624,0.9131097138944502,60.66188304171372,vote_total_2018
Model 2,vote_2016_missingTRUE,858.1963707085789,124.45820769949566,6.8954582150234245,2.0598650009781482e-5,585.7466331885879,1130.64610822857,11.51266180629071,vote_total_2018
Model 2,vote_total_2014_nona,0.019828506131284604,0.02437197410273155,0.8135781717026473,0.4245430392636097,-0.030694853099233643,0.07035186536180285,22.159015202105017,vote_total_2018
Model 2,vote_2014_missingTRUE,-8.213650883533408,36.723072868190215,-0.22366458583176274,0.8237169108152058,-81.54897515738658,65.12167339031977,65.26837923841447,vote_total_2018
Model 2,vote_total_2012_nona,-0.0046186689251092004,0.03537227320002428,-0.13057314408354254,0.896638427404094,-0.07567103795554386,0.066433700105325455,49.85649030798552,vote_total_2018
Model 2,vote_2012_missingTRUE,-66.11410331552163,49.820541435511906,-1.3270450583340254,0.1896757246102184,-165.83307910276434,33.60487247172108,58.210372445026834,vote_total_2018
Model 3,(Intercept),1348.3341232227485,69.35703033405503,19.440482337962823,1.1945229747247488e-24,1208.947975394945,1487.7202710505521,48.88938392029656,vote_total_2018
Model 3,treatmentvideo_1,-115.5233124119383,140.9333352820469,-0.8197018269719081,0.41622141678723323,-398.49652561305766,167.44990078918102,50.721412644927454,vote_total_2018
Model 3,treatmentvideo_2,72.22456222326072,112.05587295378326,0.6445406235249203,0.5222330078542818,-152.96386463131574,297.4129890778372,48.9680247808665,vote_total_2018
Model 4,(Intercept),41.89024322425242,47.80857340484046,0.8762077644427511,0.38492585737334295,-54.03270283713379,137.81318928563863,52.274165169785604,vote_total_2018
Model 4,treatmentvideo_1,15.632883176789813,29.013936367844305,0.5388060061410865,0.5923578987959492,-42.61073241299136,73.87649876657099,51.15526343104985,vote_total_2018
Model 4,treatmentvideo_2,4.978948376139224,28.28167314961479,0.1760485792265455,0.8609900363835555,-51.872464807192124,61.83036155947057,48.418738270475444,vote_total_2018
Model 4,vote_total_2016_nona,0.871523026111797,0.02112775875481496,41.25014092719036,3.1703188800825654e-46,0.8292743608748954,0.9137716913486986,60.921532923059765,vote_total_2018
Model 4,vote_2016_missingTRUE,857.1803012536847,123.83393336032921,6.922014652958495,2.011551159179296e-5,586.0210269925005,1128.3395755148688,11.484878281322194,vote_total_2018
Model 4,vote_total_2014_nona,0.01986345759708549,0.024364267496125275,0.815270050710305,0.4235905439961838,-0.030642612516406303,0.07036952771057728,22.16903277959649,vote_total_2018
Model 4,vote_2014_missingTRUE,-9.197284926964096,36.15671155944108,-0.25437282679438095,0.8000139523339014,-81.41302513748529,63.018455283557095,64.72574146309783,vote_total_2018
Model 4,vote_total_2012_nona,-0.004909264610999614,0.03568486692614172,-0.13757273135305503,0.8911289722389163,-0.07657909716181296,0.06676056793981375,50.15058742988937,vote_total_2018
Model 4,vote_2012_missingTRUE,-65.34446918447024,48.82359245532777,-1.3383789659529584,0.18590603681157386,-163.03948657668016,32.35054820773968,59.02210188862369,vote_total_2018
