term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
(Intercept),0.49965554403635726,0.03900731696002892,12.80927741193679,5.160414781983919e-28,0.422750798199818,0.5765602898728965,206,Z
dem_two_party_vote_margin_2016_nona,5.136265369536353e-6,1.4579687007538158e-5,0.3522891380919729,0.7249815786756695,-2.3608267991729328e-5,3.388079873080203e-5,206,Z
dem_two_party_vote_margin_2014_nona,-7.2229716166468465e-6,1.3736688807245186e-5,-0.5258160622257971,0.5995815864331615,-3.43054946837766e-5,1.9859551450482907e-5,206,Z
dem_two_party_vote_margin_2012_nona,1.710188485295843e-5,2.0782624442340635e-5,0.8228934175472372,0.4115201580984492,-2.3872029148669184e-5,5.807579885458604e-5,206,Z
