claim_id,value_script
te7_m1_int_se,0.08309170382047601
te7_m1_nclust,169
te7_m1_nobs,1096
te7_m1_r2,0.0347554080253486
tf10_m1_any_est,68.59196024679093
tf10_m1_any_se,269.40973755205994
tf10_m1_nobs,210
tf10_m2_any_est,-77.26722783851457
tf10_m2_any_se,156.34892143047512
tf10_m2_nobs,210
tf10_m3_nobs,210
tf10_m3_tv1_est,9.34382726443521
tf10_m3_tv1_se,275.9061329158996
tf10_m3_tv2_est,127.84009322914687
tf10_m3_tv2_se,384.5197385131535
tf10_m4_nobs,210
tf10_m4_tv1_est,-132.28417994945687
tf10_m4_tv1_se,177.3082762231606
tf10_m4_tv2_est,-23.55872275403127
tf10_m4_tv2_se,211.41213868011167
tf11_m1_any_est,-89.82885631182347
tf11_m1_any_se,953.4329157462817
tf11_m1_nobs,210
tf11_m2_any_est,195.6585496839684
tf11_m2_any_se,526.4416784228432
tf11_m2_nobs,210
tf11_m3_nobs,210
tf11_m3_tv1_est,-439.0957478018704
tf11_m3_tv1_se,1125.3363245077278
tf11_m3_tv2_est,259.4380351782236
tf11_m3_tv2_se,1182.4407478854894
tf11_m4_nobs,210
tf11_m4_tv1_est,1018.57542627657
tf11_m4_tv1_se,685.7638188243877
tf11_m4_tv2_est,-590.521797449917
tf11_m4_tv2_se,631.3777433267358
tf8_m1_int_est,0.49965554403635726
tf8_m1_int_se,0.03900731696002892
tf8_m1_nobs,210
tf8_m1_r2,0.00892627884588936
tf9_m1_any_est,0.00985458813345355
tf9_m1_any_se,0.01448034336347406
tf9_m1_nobs,210
tf9_m2_any_est,0.001494794878072
tf9_m2_any_se,0.00879754283818571
tf9_m2_nobs,210
tf9_m3_nobs,210
tf9_m3_tv1_est,0.01671408460282777
tf9_m3_tv1_se,0.01784546092514657
tf9_m3_tv2_est,0.00299509166407935
tf9_m3_tv2_se,0.01809158505430489
tf9_m4_nobs,210
tf9_m4_tv1_est,0.005482479358447
tf9_m4_tv1_se,0.00855046173703903
tf9_m4_tv2_est,-0.00245711888495072
tf9_m4_tv2_se,0.01278053151891731
